Record_Number,Listing_ID,Property_Title,Property_Type,Configuration,Price_2025_INR,Price_in_Lakhs_INR,Area_sqft,Bedrooms,Bathrooms,Price_per_Sqft,Locality,City,Zone,Builder_Owner,Construction_Status,RERA_Status,Facing,Furnishing,Price_2016_INR,Price_2017_INR,Price_2018_INR,Price_2019_INR,Price_2020_INR,Price_2021_INR,Price_2022_INR,Price_2023_INR,Price_2024_INR
224,1786023688-224,Piramal Realty Central Residences,5 BHK Villa,5 BHK,17100000.0,171.0,2458.0,5,4,6957.0,HSR Layout,Bangalore,North,Piramal Realty,Under Construction,Yes,West,Semi-Furnished,10260000.0,11115000.0,11970000.0,12825000.0,13680000.0,14535000.0,15390000.0,16245000.0,16758000.0
225,1786023688-225,Prestige Group Valley Greens,1 BHK Flat,1 BHK,4920000.0,49.2,678.0,1,1,7257.0,Electronic City,Bangalore,South,Prestige Group,Ready To Move,Yes,East,Semi-Furnished,2952000.0,3198000.0,3444000.0,3690000.0,3936000.0,4182000.0,4428000.0,4674000.0,4821600.0
226,1786023688-226,DLF Limited Heights Estate,2 BHK Flat,2 BHK,9850000.0,98.5,1156.0,2,2,8521.0,Hebbal,Bangalore,East,DLF Limited,Under Construction,Yes,North-East,Unfurnished,5910000.0,6402500.0,6895000.0,7387500.0,7880000.0,8372500.0,8865000.0,9357500.0,9653000.0
227,1786023688-227,Godrej Properties Palms Heights,3 BHK Flat,3 BHK,13140000.0,131.4,1584.0,3,3,8295.0,Yelahanka,Bangalore,South,Godrej Properties,Ready To Move,Yes,West,Unfurnished,7884000.0,8541000.0,9198000.0,9855000.0,10512000.0,11169000.0,11826000.0,12483000.0,12877200.0
228,1786023688-228,Sobha Limited Vista Villas,4 BHK Flat,4 BHK,15350000.0,153.5,1928.0,4,4,7962.0,Sarjapur Road,Bangalore,Central,Sobha Limited,Ready To Move,Yes,West,Semi-Furnished,9210000.0,9977500.0,10745000.0,11512500.0,12280000.0,13047500.0,13815000.0,14582500.0,15043000.0
229,1786023688-229,Oberoi Realty Avenue Towers,5 BHK Villa,5 BHK,19110000.0,191.1,2390.0,5,4,7996.0,Bellandur,Bangalore,East,Oberoi Realty,Ready To Move,Yes,East,Fully-Furnished,11466000.0,12421500.0,13377000.0,14332500.0,15288000.0,16243500.0,17199000.0,18154500.0,18727800.0
230,1786023688-230,Hiranandani Group Oasis Park,1 BHK Flat,1 BHK,7320000.0,73.2,722.0,1,1,10139.0,Thanisandra,Bangalore,East,Hiranandani Group,Ready To Move,Yes,West,Fully-Furnished,4392000.0,4758000.0,5124000.0,5490000.0,5856000.0,6222000.0,6588000.0,6954000.0,7173600.0
231,1786023688-231,Lodha Group Solitaire Court,2 BHK Flat,2 BHK,8620000.0,86.2,979.0,2,2,8805.0,Marathahalli,Bangalore,East,Lodha Group,Ready To Move,Yes,East,Semi-Furnished,5172000.0,5603000.0,6034000.0,6465000.0,6896000.0,7327000.0,7758000.0,8189000.0,8447600.0
232,1786023688-232,Aparna Constructions Signature Gardens,3 BHK Flat,3 BHK,16260000.0,162.6,1595.0,3,3,10194.0,Jayanagar,Bangalore,South,Aparna Constructions,Under Construction,Yes,West,Unfurnished,9756000.0,10569000.0,11382000.0,12195000.0,13008000.0,13821000.0,14634000.0,15447000.0,15934800.0
233,1786023688-233,Brigade Group Crown Haven,4 BHK Flat,4 BHK,19450000.0,194.5,1991.0,4,4,9769.0,Rajajinagar,Bangalore,South,Brigade Group,Ready To Move,Yes,West,Fully-Furnished,11670000.0,12642500.0,13615000.0,14587500.0,15560000.0,16532500.0,17505000.0,18477500.0,19061000.0
234,1786023688-234,Puravankara Royal Enclave,5 BHK Villa,5 BHK,19460000.0,194.6,2442.0,5,4,7969.0,Banashankari,Bangalore,Central,Puravankara,Under Construction,Yes,West,Semi-Furnished,11676000.0,12649000.0,13622000.0,14595000.0,15568000.0,16541000.0,17514000.0,18487000.0,19070800.0
235,1786023688-235,Rustomjee Grand Square,1 BHK Flat,1 BHK,4750000.0,47.5,503.0,1,1,9443.0,Malleshwaram,Bangalore,South,Rustomjee,Under Construction,Yes,East,Fully-Furnished,2850000.0,3087500.0,3325000.0,3562500.0,3800000.0,4037500.0,4275000.0,4512500.0,4655000.0
236,1786023688-236,Tata Housing Emerald Plaza,2 BHK Flat,2 BHK,9930000.0,99.3,1051.0,2,2,9448.0,Kaggadasapura,Bangalore,North,Tata Housing,Under Construction,Yes,West,Unfurnished,5958000.0,6454500.0,6951000.0,7447500.0,7944000.0,8440500.0,8937000.0,9433500.0,9731400.0
237,1786023688-237,Mahindra Lifespaces Serene Terraces,3 BHK Flat,3 BHK,13320000.0,133.2,1517.0,3,3,8780.0,BTM Layout,Bangalore,Central,Mahindra Lifespaces,Under Construction,Yes,North-East,Unfurnished,7992000.0,8658000.0,9324000.0,9990000.0,10656000.0,11322000.0,11988000.0,12654000.0,13053600.0
238,1786023688-238,Casagrand Skyline Residences,4 BHK Flat,4 BHK,14610000.0,146.1,1890.0,4,4,7730.0,JP Nagar,Bangalore,South,Casagrand,Ready To Move,Yes,North,Unfurnished,8766000.0,9496500.0,10227000.0,10957500.0,11688000.0,12418500.0,13149000.0,13879500.0,14317800.0
239,1786023688-239,Kolte-Patil Imperia Greens,5 BHK Villa,5 BHK,18210000.0,182.1,2512.0,5,4,7249.0,C V Raman Nagar,Bangalore,South,Kolte-Patil,Under Construction,Yes,West,Fully-Furnished,10926000.0,11836500.0,12747000.0,13657500.0,14568000.0,15478500.0,16389000.0,17299500.0,17845800.0
240,1786023688-240,Piramal Realty Elegance Estate,1 BHK Flat,1 BHK,5940000.0,59.4,605.0,1,1,9818.0,Varthur,Bangalore,East,Piramal Realty,Ready To Move,Yes,North-East,Unfurnished,3564000.0,3861000.0,4158000.0,4455000.0,4752000.0,5049000.0,5346000.0,5643000.0,5821200.0
241,1786023688-241,Prestige Group Urban Heights,2 BHK Flat,2 BHK,9000000.0,90.0,1054.0,2,2,8539.0,Whitefield,Bangalore,East,Prestige Group,Ready To Move,Yes,North-East,Semi-Furnished,5400000.0,5850000.0,6300000.0,6750000.0,7200000.0,7650000.0,8100000.0,8550000.0,8820000.0
242,1786023688-242,DLF Limited Central Villas,3 BHK Flat,3 BHK,12350000.0,123.5,1494.0,3,3,8266.0,Koramangala,Bangalore,Central,DLF Limited,Under Construction,Yes,North-East,Semi-Furnished,7410000.0,8027500.0,8645000.0,9262500.0,9880000.0,10497500.0,11115000.0,11732500.0,12103000.0
243,1786023688-243,Godrej Properties Valley Towers,4 BHK Flat,4 BHK,19360000.0,193.6,1908.0,4,4,10147.0,Indiranagar,Bangalore,West,Godrej Properties,Ready To Move,Yes,East,Fully-Furnished,11616000.0,12584000.0,13552000.0,14520000.0,15488000.0,16456000.0,17424000.0,18392000.0,18972800.0
244,1786023688-244,Sobha Limited Heights Park,5 BHK Villa,5 BHK,24750000.0,247.5,2517.0,5,4,9833.0,HSR Layout,Bangalore,Central,Sobha Limited,Under Construction,Yes,North-East,Semi-Furnished,14850000.0,16087500.0,17325000.0,18562500.0,19800000.0,21037500.0,22275000.0,23512500.0,24255000.0
245,1786023688-245,Oberoi Realty Palms Court,1 BHK Flat,1 BHK,4710000.0,47.1,606.0,1,1,7772.0,Electronic City,Bangalore,North,Oberoi Realty,Under Construction,Yes,East,Fully-Furnished,2826000.0,3061500.0,3297000.0,3532500.0,3768000.0,4003500.0,4239000.0,4474500.0,4615800.0
246,1786023688-246,Hiranandani Group Vista Gardens,2 BHK Flat,2 BHK,7940000.0,79.4,999.0,2,2,7948.0,Hebbal,Bangalore,Central,Hiranandani Group,Under Construction,Yes,East,Unfurnished,4764000.0,5161000.0,5558000.0,5955000.0,6352000.0,6749000.0,7146000.0,7543000.0,7781200.0
247,1786023688-247,Lodha Group Avenue Haven,3 BHK Flat,3 BHK,16210000.0,162.1,1620.0,3,3,10006.0,Yelahanka,Bangalore,East,Lodha Group,Under Construction,Yes,North,Unfurnished,9726000.0,10536500.0,11347000.0,12157500.0,12968000.0,13778500.0,14589000.0,15399500.0,15885800.0
248,1786023688-248,Aparna Constructions Oasis Enclave,4 BHK Flat,4 BHK,13320000.0,133.2,1891.0,4,4,7044.0,Sarjapur Road,Bangalore,South,Aparna Constructions,Under Construction,Yes,East,Unfurnished,7992000.0,8658000.0,9324000.0,9990000.0,10656000.0,11322000.0,11988000.0,12654000.0,13053600.0
249,1786023688-249,Brigade Group Solitaire Square,5 BHK Villa,5 BHK,19240000.0,192.4,2400.0,5,4,8017.0,Bellandur,Bangalore,South,Brigade Group,Under Construction,Yes,East,Semi-Furnished,11544000.0,12506000.0,13468000.0,14430000.0,15392000.0,16354000.0,17316000.0,18278000.0,18855200.0
250,1786023688-250,Puravankara Signature Plaza,1 BHK Flat,1 BHK,6790000.0,67.9,730.0,1,1,9301.0,Thanisandra,Bangalore,East,Puravankara,Under Construction,Yes,North,Unfurnished,4074000.0,4413500.0,4753000.0,5092500.0,5432000.0,5771500.0,6111000.0,6450500.0,6654200.0
251,1786023688-251,Rustomjee Crown Terraces,2 BHK Flat,2 BHK,10130000.0,101.3,1081.0,2,2,9371.0,Marathahalli,Bangalore,West,Rustomjee,Ready To Move,Yes,North-East,Fully-Furnished,6078000.0,6584500.0,7091000.0,7597500.0,8104000.0,8610500.0,9117000.0,9623500.0,9927400.0
252,1786023688-252,Tata Housing Royal Residences,3 BHK Flat,3 BHK,14290000.0,142.9,1441.0,3,3,9917.0,Jayanagar,Bangalore,South,Tata Housing,Ready To Move,Yes,West,Semi-Furnished,8574000.0,9288500.0,10003000.0,10717500.0,11432000.0,12146500.0,12861000.0,13575500.0,14004200.0
253,1786023688-253,Mahindra Lifespaces Grand Greens,4 BHK Flat,4 BHK,15870000.0,158.7,2032.0,4,4,7810.0,Rajajinagar,Bangalore,West,Mahindra Lifespaces,Ready To Move,Yes,West,Fully-Furnished,9522000.0,10315500.0,11109000.0,11902500.0,12696000.0,13489500.0,14283000.0,15076500.0,15552600.0
254,1786023688-254,Casagrand Emerald Estate,5 BHK Villa,5 BHK,22000000.0,220.0,2329.0,5,4,9446.0,Banashankari,Bangalore,North,Casagrand,Ready To Move,Yes,East,Fully-Furnished,13200000.0,14300000.0,15400000.0,16500000.0,17600000.0,18700000.0,19800000.0,20900000.0,21560000.0
255,1786023688-255,Kolte-Patil Serene Heights,1 BHK Flat,1 BHK,3980000.0,39.8,538.0,1,1,7398.0,Malleshwaram,Bangalore,South,Kolte-Patil,Ready To Move,Yes,North,Fully-Furnished,2388000.0,2587000.0,2786000.0,2985000.0,3184000.0,3383000.0,3582000.0,3781000.0,3900400.0
256,1786023688-256,Piramal Realty Skyline Villas,2 BHK Flat,2 BHK,9020000.0,90.2,1167.0,2,2,7729.0,Kaggadasapura,Bangalore,West,Piramal Realty,Ready To Move,Yes,North,Fully-Furnished,5412000.0,5863000.0,6314000.0,6765000.0,7216000.0,7667000.0,8118000.0,8569000.0,8839600.0
257,1786023688-257,Prestige Group Imperia Towers,3 BHK Flat,3 BHK,14910000.0,149.1,1602.0,3,3,9307.0,BTM Layout,Bangalore,Central,Prestige Group,Under Construction,Yes,West,Fully-Furnished,8946000.0,9691500.0,10437000.0,11182500.0,11928000.0,12673500.0,13419000.0,14164500.0,14611800.0
258,1786023688-258,DLF Limited Elegance Park,4 BHK Flat,4 BHK,16750000.0,167.5,1944.0,4,4,8616.0,JP Nagar,Bangalore,South,DLF Limited,Ready To Move,Yes,North-East,Fully-Furnished,10050000.0,10887500.0,11725000.0,12562500.0,13400000.0,14237500.0,15075000.0,15912500.0,16415000.0
259,1786023688-259,Godrej Properties Urban Court,5 BHK Villa,5 BHK,20480000.0,204.8,2411.0,5,4,8494.0,C V Raman Nagar,Bangalore,North,Godrej Properties,Ready To Move,Yes,East,Semi-Furnished,12288000.0,13312000.0,14336000.0,15360000.0,16384000.0,17408000.0,18432000.0,19456000.0,20070400.0
260,1786023688-260,Sobha Limited Central Gardens,1 BHK Flat,1 BHK,5130000.0,51.3,531.0,1,1,9661.0,Varthur,Bangalore,East,Sobha Limited,Ready To Move,Yes,East,Semi-Furnished,3078000.0,3334500.0,3591000.0,3847500.0,4104000.0,4360500.0,4617000.0,4873500.0,5027400.0
261,1786023688-261,Oberoi Realty Valley Haven,2 BHK Flat,2 BHK,8200000.0,82.0,1008.0,2,2,8135.0,Whitefield,Bangalore,Central,Oberoi Realty,Under Construction,Yes,East,Unfurnished,4920000.0,5330000.0,5740000.0,6150000.0,6560000.0,6970000.0,7380000.0,7790000.0,8036000.0
262,1786023688-262,Hiranandani Group Heights Enclave,3 BHK Flat,3 BHK,11790000.0,117.9,1453.0,3,3,8114.0,Koramangala,Bangalore,East,Hiranandani Group,Under Construction,Yes,North-East,Fully-Furnished,7074000.0,7663500.0,8253000.0,8842500.0,9432000.0,10021500.0,10611000.0,11200500.0,11554200.0
263,1786023688-263,Lodha Group Palms Square,4 BHK Flat,4 BHK,19100000.0,191.0,1960.0,4,4,9745.0,Indiranagar,Bangalore,Central,Lodha Group,Ready To Move,Yes,North-East,Unfurnished,11460000.0,12415000.0,13370000.0,14325000.0,15280000.0,16235000.0,17190000.0,18145000.0,18718000.0
264,1786023688-264,Aparna Constructions Vista Plaza,5 BHK Villa,5 BHK,16970000.0,169.7,2310.0,5,4,7346.0,HSR Layout,Bangalore,East,Aparna Constructions,Ready To Move,Yes,West,Unfurnished,10182000.0,11030500.0,11879000.0,12727500.0,13576000.0,14424500.0,15273000.0,16121500.0,16630600.0
265,1786023688-265,Brigade Group Avenue Terraces,1 BHK Flat,1 BHK,3710000.0,37.1,525.0,1,1,7067.0,Electronic City,Bangalore,East,Brigade Group,Ready To Move,Yes,East,Fully-Furnished,2226000.0,2411500.0,2597000.0,2782500.0,2968000.0,3153500.0,3339000.0,3524500.0,3635800.0
266,1786023688-266,Puravankara Oasis Residences,2 BHK Flat,2 BHK,6900000.0,69.0,970.0,2,2,7113.0,Hebbal,Bangalore,North,Puravankara,Ready To Move,Yes,North-East,Semi-Furnished,4140000.0,4485000.0,4830000.0,5175000.0,5520000.0,5865000.0,6210000.0,6555000.0,6762000.0
267,1786023688-267,Rustomjee Solitaire Greens,3 BHK Flat,3 BHK,15480000.0,154.8,1626.0,3,3,9520.0,Yelahanka,Bangalore,East,Rustomjee,Ready To Move,Yes,East,Fully-Furnished,9288000.0,10062000.0,10836000.0,11610000.0,12384000.0,13158000.0,13932000.0,14706000.0,15170400.0
268,1786023688-268,Tata Housing Signature Estate,4 BHK Flat,4 BHK,15780000.0,157.8,2032.0,4,4,7766.0,Sarjapur Road,Bangalore,Central,Tata Housing,Under Construction,Yes,North,Fully-Furnished,9468000.0,10257000.0,11046000.0,11835000.0,12624000.0,13413000.0,14202000.0,14991000.0,15464400.0
269,1786023688-269,Mahindra Lifespaces Crown Heights,5 BHK Villa,5 BHK,17480000.0,174.8,2431.0,5,4,7190.0,Bellandur,Bangalore,East,Mahindra Lifespaces,Under Construction,Yes,West,Unfurnished,10488000.0,11362000.0,12236000.0,13110000.0,13984000.0,14858000.0,15732000.0,16606000.0,17130400.0
270,1786023688-270,Casagrand Royal Villas,1 BHK Flat,1 BHK,6410000.0,64.1,690.0,1,1,9290.0,Thanisandra,Bangalore,West,Casagrand,Under Construction,Yes,East,Unfurnished,3846000.0,4166500.0,4487000.0,4807500.0,5128000.0,5448500.0,5769000.0,6089500.0,6281800.0
271,1786023688-271,Kolte-Patil Grand Towers,2 BHK Flat,2 BHK,7300000.0,73.0,1038.0,2,2,7033.0,Marathahalli,Bangalore,South,Kolte-Patil,Under Construction,Yes,North-East,Semi-Furnished,4380000.0,4745000.0,5110000.0,5475000.0,5840000.0,6205000.0,6570000.0,6935000.0,7154000.0
272,1786023688-272,Piramal Realty Emerald Park,3 BHK Flat,3 BHK,14690000.0,146.9,1564.0,3,3,9393.0,Jayanagar,Bangalore,Central,Piramal Realty,Ready To Move,Yes,North-East,Semi-Furnished,8814000.0,9548500.0,10283000.0,11017500.0,11752000.0,12486500.0,13221000.0,13955500.0,14396200.0
273,1786023688-273,Prestige Group Serene Court,4 BHK Flat,4 BHK,15090000.0,150.9,1993.0,4,4,7572.0,Rajajinagar,Bangalore,North,Prestige Group,Under Construction,Yes,West,Fully-Furnished,9054000.0,9808500.0,10563000.0,11317500.0,12072000.0,12826500.0,13581000.0,14335500.0,14788200.0
274,1786023688-274,DLF Limited Skyline Gardens,5 BHK Villa,5 BHK,16750000.0,167.5,2355.0,5,4,7113.0,Banashankari,Bangalore,East,DLF Limited,Under Construction,Yes,North,Unfurnished,10050000.0,10887500.0,11725000.0,12562500.0,13400000.0,14237500.0,15075000.0,15912500.0,16415000.0
275,1786023688-275,Godrej Properties Imperia Haven,1 BHK Flat,1 BHK,4880000.0,48.8,587.0,1,1,8313.0,Malleshwaram,Bangalore,West,Godrej Properties,Ready To Move,Yes,North-East,Fully-Furnished,2928000.0,3172000.0,3416000.0,3660000.0,3904000.0,4148000.0,4392000.0,4636000.0,4782400.0
276,1786023688-276,Sobha Limited Elegance Enclave,2 BHK Flat,2 BHK,10390000.0,103.9,1181.0,2,2,8798.0,Kaggadasapura,Bangalore,East,Sobha Limited,Under Construction,Yes,West,Unfurnished,6234000.0,6753500.0,7273000.0,7792500.0,8312000.0,8831500.0,9351000.0,9870500.0,10182200.0
277,1786023688-277,Oberoi Realty Urban Square,3 BHK Flat,3 BHK,12800000.0,128.0,1537.0,3,3,8328.0,BTM Layout,Bangalore,Central,Oberoi Realty,Under Construction,Yes,North,Unfurnished,7680000.0,8320000.0,8960000.0,9600000.0,10240000.0,10880000.0,11520000.0,12160000.0,12544000.0
278,1786023688-278,Hiranandani Group Central Plaza,4 BHK Flat,4 BHK,13970000.0,139.7,1916.0,4,4,7291.0,JP Nagar,Bangalore,South,Hiranandani Group,Ready To Move,Yes,North,Fully-Furnished,8382000.0,9080500.0,9779000.0,10477500.0,11176000.0,11874500.0,12573000.0,13271500.0,13690600.0
279,1786023688-279,Lodha Group Valley Terraces,5 BHK Villa,5 BHK,18060000.0,180.6,2473.0,5,4,7303.0,C V Raman Nagar,Bangalore,North,Lodha Group,Under Construction,Yes,East,Semi-Furnished,10836000.0,11739000.0,12642000.0,13545000.0,14448000.0,15351000.0,16254000.0,17157000.0,17698800.0
280,1786023688-280,Aparna Constructions Heights Residences,1 BHK Flat,1 BHK,4740000.0,47.4,564.0,1,1,8404.0,Varthur,Bangalore,Central,Aparna Constructions,Ready To Move,Yes,North-East,Unfurnished,2844000.0,3081000.0,3318000.0,3555000.0,3792000.0,4029000.0,4266000.0,4503000.0,4645200.0
281,1786023688-281,Brigade Group Palms Greens,2 BHK Flat,2 BHK,6900000.0,69.0,960.0,2,2,7188.0,Whitefield,Bangalore,East,Brigade Group,Ready To Move,Yes,East,Semi-Furnished,4140000.0,4485000.0,4830000.0,5175000.0,5520000.0,5865000.0,6210000.0,6555000.0,6762000.0
282,1786023688-282,Puravankara Vista Estate,3 BHK Flat,3 BHK,12440000.0,124.4,1442.0,3,3,8627.0,Koramangala,Bangalore,East,Puravankara,Ready To Move,Yes,North-East,Fully-Furnished,7464000.0,8086000.0,8708000.0,9330000.0,9952000.0,10574000.0,11196000.0,11818000.0,12191200.0
283,1786023688-283,Rustomjee Avenue Heights,4 BHK Flat,4 BHK,20200000.0,202.0,2044.0,4,4,9883.0,Indiranagar,Bangalore,Central,Rustomjee,Ready To Move,Yes,West,Unfurnished,12120000.0,13130000.0,14140000.0,15150000.0,16160000.0,17170000.0,18180000.0,19190000.0,19796000.0
284,1786023688-284,Tata Housing Oasis Villas,5 BHK Villa,5 BHK,16680000.0,166.8,2307.0,5,4,7230.0,HSR Layout,Bangalore,Central,Tata Housing,Under Construction,Yes,North-East,Unfurnished,10008000.0,10842000.0,11676000.0,12510000.0,13344000.0,14178000.0,15012000.0,15846000.0,16346400.0
285,1786023688-285,Mahindra Lifespaces Solitaire Towers,1 BHK Flat,1 BHK,5200000.0,52.0,722.0,1,1,7202.0,Electronic City,Bangalore,Central,Mahindra Lifespaces,Under Construction,Yes,North-East,Semi-Furnished,3120000.0,3380000.0,3640000.0,3900000.0,4160000.0,4420000.0,4680000.0,4940000.0,5096000.0
286,1786023688-286,Casagrand Signature Park,2 BHK Flat,2 BHK,9000000.0,90.0,1095.0,2,2,8219.0,Hebbal,Bangalore,Central,Casagrand,Ready To Move,Yes,North,Unfurnished,5400000.0,5850000.0,6300000.0,6750000.0,7200000.0,7650000.0,8100000.0,8550000.0,8820000.0
287,1786023688-287,Kolte-Patil Crown Court,3 BHK Flat,3 BHK,14100000.0,141.0,1624.0,3,3,8682.0,Yelahanka,Bangalore,East,Kolte-Patil,Under Construction,Yes,West,Unfurnished,8460000.0,9165000.0,9870000.0,10575000.0,11280000.0,11985000.0,12690000.0,13395000.0,13818000.0
288,1786023688-288,Piramal Realty Royal Gardens,4 BHK Flat,4 BHK,15090000.0,150.9,1981.0,4,4,7617.0,Sarjapur Road,Bangalore,North,Piramal Realty,Ready To Move,Yes,North-East,Fully-Furnished,9054000.0,9808500.0,10563000.0,11317500.0,12072000.0,12826500.0,13581000.0,14335500.0,14788200.0
289,1786023688-289,Prestige Group Grand Haven,5 BHK Villa,5 BHK,23190000.0,231.9,2446.0,5,4,9481.0,Bellandur,Bangalore,Central,Prestige Group,Ready To Move,Yes,East,Unfurnished,13914000.0,15073500.0,16233000.0,17392500.0,18552000.0,19711500.0,20871000.0,22030500.0,22726200.0
290,1786023688-290,DLF Limited Emerald Enclave,1 BHK Flat,1 BHK,6710000.0,67.1,714.0,1,1,9398.0,Thanisandra,Bangalore,South,DLF Limited,Ready To Move,Yes,East,Fully-Furnished,4026000.0,4361500.0,4697000.0,5032500.0,5368000.0,5703500.0,6039000.0,6374500.0,6575800.0
291,1786023688-291,Godrej Properties Serene Square,2 BHK Flat,2 BHK,8280000.0,82.8,1058.0,2,2,7826.0,Marathahalli,Bangalore,North,Godrej Properties,Under Construction,Yes,North,Unfurnished,4968000.0,5382000.0,5796000.0,6210000.0,6624000.0,7038000.0,7452000.0,7866000.0,8114400.0
292,1786023688-292,Sobha Limited Skyline Plaza,3 BHK Flat,3 BHK,11490000.0,114.9,1432.0,3,3,8024.0,Jayanagar,Bangalore,Central,Sobha Limited,Under Construction,Yes,North-East,Unfurnished,6894000.0,7468500.0,8043000.0,8617500.0,9192000.0,9766500.0,10341000.0,10915500.0,11260200.0
293,1786023688-293,Oberoi Realty Imperia Terraces,4 BHK Flat,4 BHK,17140000.0,171.4,1898.0,4,4,9031.0,Rajajinagar,Bangalore,East,Oberoi Realty,Ready To Move,Yes,North-East,Unfurnished,10284000.0,11141000.0,11998000.0,12855000.0,13712000.0,14569000.0,15426000.0,16283000.0,16797200.0
294,1786023688-294,Hiranandani Group Elegance Residences,5 BHK Villa,5 BHK,19090000.0,190.9,2326.0,5,4,8207.0,Banashankari,Bangalore,Central,Hiranandani Group,Ready To Move,Yes,North,Semi-Furnished,11454000.0,12408500.0,13363000.0,14317500.0,15272000.0,16226500.0,17181000.0,18135500.0,18708200.0
295,1786023688-295,Lodha Group Urban Greens,1 BHK Flat,1 BHK,5250000.0,52.5,647.0,1,1,8114.0,Malleshwaram,Bangalore,East,Lodha Group,Under Construction,Yes,North,Fully-Furnished,3150000.0,3412500.0,3675000.0,3937500.0,4200000.0,4462500.0,4725000.0,4987500.0,5145000.0
296,1786023688-296,Aparna Constructions Central Estate,2 BHK Flat,2 BHK,9100000.0,91.0,975.0,2,2,9333.0,Kaggadasapura,Bangalore,West,Aparna Constructions,Ready To Move,Yes,West,Fully-Furnished,5460000.0,5915000.0,6370000.0,6825000.0,7280000.0,7735000.0,8190000.0,8645000.0,8918000.0
297,1786023688-297,Brigade Group Valley Heights,3 BHK Flat,3 BHK,12520000.0,125.2,1594.0,3,3,7854.0,BTM Layout,Bangalore,West,Brigade Group,Ready To Move,Yes,North-East,Fully-Furnished,7512000.0,8138000.0,8764000.0,9390000.0,10016000.0,10642000.0,11268000.0,11894000.0,12269600.0
298,1786023688-298,Puravankara Heights Villas,4 BHK Flat,4 BHK,17600000.0,176.0,1866.0,4,4,9432.0,JP Nagar,Bangalore,West,Puravankara,Under Construction,Yes,North,Unfurnished,10560000.0,11440000.0,12320000.0,13200000.0,14080000.0,14960000.0,15840000.0,16720000.0,17248000.0
299,1786023688-299,Rustomjee Palms Towers,5 BHK Villa,5 BHK,18320000.0,183.2,2335.0,5,4,7846.0,C V Raman Nagar,Bangalore,North,Rustomjee,Under Construction,Yes,West,Unfurnished,10992000.0,11908000.0,12824000.0,13740000.0,14656000.0,15572000.0,16488000.0,17404000.0,17953600.0
300,1786023688-300,Tata Housing Vista Park,1 BHK Flat,1 BHK,4910000.0,49.1,525.0,1,1,9352.0,Varthur,Bangalore,East,Tata Housing,Under Construction,Yes,West,Unfurnished,2946000.0,3191500.0,3437000.0,3682500.0,3928000.0,4173500.0,4419000.0,4664500.0,4811800.0
301,1786023688-301,Mahindra Lifespaces Avenue Court,2 BHK Flat,2 BHK,11150000.0,111.5,1104.0,2,2,10100.0,Whitefield,Bangalore,South,Mahindra Lifespaces,Under Construction,Yes,North-East,Semi-Furnished,6690000.0,7247500.0,7805000.0,8362500.0,8920000.0,9477500.0,10035000.0,10592500.0,10927000.0
302,1786023688-302,Casagrand Oasis Gardens,3 BHK Flat,3 BHK,13450000.0,134.5,1570.0,3,3,8567.0,Koramangala,Bangalore,South,Casagrand,Ready To Move,Yes,East,Fully-Furnished,8070000.0,8742500.0,9415000.0,10087500.0,10760000.0,11432500.0,12105000.0,12777500.0,13181000.0
303,1786023688-303,Kolte-Patil Solitaire Haven,4 BHK Flat,4 BHK,19140000.0,191.4,1919.0,4,4,9974.0,Indiranagar,Bangalore,East,Kolte-Patil,Under Construction,Yes,West,Fully-Furnished,11484000.0,12441000.0,13398000.0,14355000.0,15312000.0,16269000.0,17226000.0,18183000.0,18757200.0
304,1786023688-304,Piramal Realty Signature Enclave,5 BHK Villa,5 BHK,17790000.0,177.9,2482.0,5,4,7168.0,HSR Layout,Bangalore,East,Piramal Realty,Under Construction,Yes,North,Unfurnished,10674000.0,11563500.0,12453000.0,13342500.0,14232000.0,15121500.0,16011000.0,16900500.0,17434200.0
305,1786023688-305,Prestige Group Crown Square,1 BHK Flat,1 BHK,5590000.0,55.9,656.0,1,1,8521.0,Electronic City,Bangalore,South,Prestige Group,Under Construction,Yes,North-East,Unfurnished,3354000.0,3633500.0,3913000.0,4192500.0,4472000.0,4751500.0,5031000.0,5310500.0,5478200.0
306,1786023688-306,DLF Limited Royal Plaza,2 BHK Flat,2 BHK,8290000.0,82.9,1086.0,2,2,7634.0,Hebbal,Bangalore,East,DLF Limited,Ready To Move,Yes,East,Semi-Furnished,4974000.0,5388500.0,5803000.0,6217500.0,6632000.0,7046500.0,7461000.0,7875500.0,8124200.0
307,1786023688-307,Godrej Properties Grand Terraces,3 BHK Flat,3 BHK,15040000.0,150.4,1494.0,3,3,10067.0,Yelahanka,Bangalore,North,Godrej Properties,Ready To Move,Yes,East,Semi-Furnished,9024000.0,9776000.0,10528000.0,11280000.0,12032000.0,12784000.0,13536000.0,14288000.0,14739200.0
308,1786023688-308,Sobha Limited Emerald Residences,4 BHK Flat,4 BHK,18110000.0,181.1,1901.0,4,4,9527.0,Sarjapur Road,Bangalore,East,Sobha Limited,Under Construction,Yes,North,Fully-Furnished,10866000.0,11771500.0,12677000.0,13582500.0,14488000.0,15393500.0,16299000.0,17204500.0,17747800.0
