Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
157,1786023688-157,N/A,Mahindra Lifespaces Avenue Heights,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹103.3 Lac,N/A,N/A,1433 sqft,Super Built-up Area,BTM Layout,Bangalore,North,"BTM Layout, Bangalore",400157,Mahindra Lifespaces Avenue Heights,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,14,18,1 Covered,North-East,Fully-Furnished,₹7209 /sqft,"Garden, Tennis Court, Swimming Pool, Elevator, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,157,6198000,6714500,7231000,7747500,8264000,8780500,9297000,9813500,10123400,10330000
158,1786023688-158,N/A,Casagrand Oasis Villas,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹147.7 Lac,N/A,N/A,1882 sqft,Carpet Area,JP Nagar,Bangalore,Central,"JP Nagar, Bangalore",400158,Casagrand Oasis Villas,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,15,19,1 Covered,North,Semi-Furnished,₹7848 /sqft,"Security, Swimming Pool, Parking, Tennis Court, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,158,8862000,9600500,10339000,11077500,11816000,12554500,13293000,14031500,14474600,14770000
159,1786023688-159,N/A,Kolte-Patil Solitaire Towers,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹168.1 Lac,N/A,N/A,2440 sqft,Super Built-up Area,C V Raman Nagar,Bangalore,Central,"C V Raman Nagar, Bangalore",400159,Kolte-Patil Solitaire Towers,Kolte-Patil,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,16,20,1 Covered,East,Fully-Furnished,₹6889 /sqft,"Garden, Swimming Pool, Security, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,159,10086000,10926500,11767000,12607500,13448000,14288500,15129000,15969500,16473800,16810000
160,1786023688-160,N/A,Piramal Realty Signature Park,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹48.2 Lac,N/A,N/A,670 sqft,Carpet Area,Varthur,Bangalore,Central,"Varthur, Bangalore",400160,Piramal Realty Signature Park,Piramal Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,17,21,1 Covered,North,Semi-Furnished,₹7194 /sqft,"Power Backup, Swimming Pool, Elevator, Jogging Track, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,160,2892000,3133000,3374000,3615000,3856000,4097000,4338000,4579000,4723600,4820000
161,1786023688-161,N/A,Prestige Group Crown Court,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹93 Lac,N/A,N/A,1093 sqft,Built-up Area,Whitefield,Bangalore,Central,"Whitefield, Bangalore",400161,Prestige Group Crown Court,Prestige Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,6d ago,18,22,1 Covered,North-East,Semi-Furnished,₹8509 /sqft,"Security, Clubhouse, Power Backup, Elevator, Parking, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,161,5580000,6045000,6510000,6975000,7440000,7905000,8370000,8835000,9114000,9300000
162,1786023688-162,N/A,DLF Limited Royal Gardens,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹136.3 Lac,N/A,N/A,1420 sqft,Plot Area,Koramangala,Bangalore,South,"Koramangala, Bangalore",400162,DLF Limited Royal Gardens,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,1,5,1 Covered,North-East,Semi-Furnished,₹9599 /sqft,"Security, Garden, Jogging Track, Gymnasium, Swimming Pool, Clubhouse, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,162,8178000,8859500,9541000,10222500,10904000,11585500,12267000,12948500,13357400,13630000
163,1786023688-163,N/A,Godrej Properties Grand Haven,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹154.8 Lac,N/A,N/A,2056 sqft,Carpet Area,Indiranagar,Bangalore,East,"Indiranagar, Bangalore",400163,Godrej Properties Grand Haven,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,2,6,1 Covered,West,Fully-Furnished,₹7529 /sqft,"Parking, Security, Jogging Track, Swimming Pool, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,163,9288000,10062000,10836000,11610000,12384000,13158000,13932000,14706000,15170400,15480000
164,1786023688-164,N/A,Sobha Limited Emerald Enclave,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹240.3 Lac,N/A,N/A,2511 sqft,Built-up Area,HSR Layout,Bangalore,East,"HSR Layout, Bangalore",400164,Sobha Limited Emerald Enclave,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,3,7,1 Covered,West,Semi-Furnished,₹9570 /sqft,"Parking, Security, Swimming Pool, Clubhouse, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,164,14418000,15619500,16821000,18022500,19224000,20425500,21627000,22828500,23549400,24030000
165,1786023688-165,N/A,Oberoi Realty Serene Square,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹46.8 Lac,N/A,N/A,563 sqft,Carpet Area,Electronic City,Bangalore,North,"Electronic City, Bangalore",400165,Oberoi Realty Serene Square,Oberoi Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,4,8,1 Covered,East,Fully-Furnished,₹8313 /sqft,"Elevator, Swimming Pool, Parking, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,165,2808000,3042000,3276000,3510000,3744000,3978000,4212000,4446000,4586400,4680000
166,1786023688-166,N/A,Hiranandani Group Skyline Plaza,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹99 Lac,N/A,N/A,1072 sqft,Built-up Area,Hebbal,Bangalore,South,"Hebbal, Bangalore",400166,Hiranandani Group Skyline Plaza,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,5,9,1 Covered,East,Semi-Furnished,₹9235 /sqft,"Swimming Pool, Elevator, Parking, Garden, Clubhouse, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,166,5940000,6435000,6930000,7425000,7920000,8415000,8910000,9405000,9702000,9900000
167,1786023688-167,N/A,Lodha Group Imperia Terraces,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹108.4 Lac,N/A,N/A,1480 sqft,Plot Area,Yelahanka,Bangalore,East,"Yelahanka, Bangalore",400167,Lodha Group Imperia Terraces,Lodha Group,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,6,10,1 Covered,East,Semi-Furnished,₹7324 /sqft,"Clubhouse, Parking, Power Backup, Jogging Track, Security, Elevator, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,167,6504000,7046000,7588000,8130000,8672000,9214000,9756000,10298000,10623200,10840000
168,1786023688-168,N/A,Aparna Constructions Elegance Residences,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹173.3 Lac,N/A,N/A,1948 sqft,Plot Area,Sarjapur Road,Bangalore,South,"Sarjapur Road, Bangalore",400168,Aparna Constructions Elegance Residences,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,1d ago,7,11,1 Covered,East,Fully-Furnished,₹8896 /sqft,"Jogging Track, Power Backup, Elevator, Parking, Swimming Pool, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,168,10398000,11264500,12131000,12997500,13864000,14730500,15597000,16463500,16983400,17330000
169,1786023688-169,N/A,Brigade Group Urban Greens,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹192.8 Lac,N/A,N/A,2447 sqft,Super Built-up Area,Bellandur,Bangalore,South,"Bellandur, Bangalore",400169,Brigade Group Urban Greens,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,8,12,1 Covered,West,Unfurnished,₹7879 /sqft,"Clubhouse, Jogging Track, Parking, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,169,11568000,12532000,13496000,14460000,15424000,16388000,17352000,18316000,18894400,19280000
170,1786023688-170,N/A,Puravankara Central Estate,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹44.4 Lac,N/A,N/A,545 sqft,Built-up Area,Thanisandra,Bangalore,East,"Thanisandra, Bangalore",400170,Puravankara Central Estate,Puravankara,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,9,13,1 Covered,East,Unfurnished,₹8147 /sqft,"Parking, Gymnasium, Clubhouse, Tennis Court, Power Backup, Jogging Track, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,170,2664000,2886000,3108000,3330000,3552000,3774000,3996000,4218000,4351200,4440000
171,1786023688-171,N/A,Rustomjee Valley Heights,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹95.3 Lac,N/A,N/A,1068 sqft,Carpet Area,Marathahalli,Bangalore,East,"Marathahalli, Bangalore",400171,Rustomjee Valley Heights,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,10,14,1 Covered,North,Semi-Furnished,₹8923 /sqft,"Security, Parking, Jogging Track, Tennis Court, Power Backup, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,171,5718000,6194500,6671000,7147500,7624000,8100500,8577000,9053500,9339400,9530000
172,1786023688-172,N/A,Tata Housing Heights Villas,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹138.2 Lac,N/A,N/A,1650 sqft,Carpet Area,Jayanagar,Bangalore,North,"Jayanagar, Bangalore",400172,Tata Housing Heights Villas,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,11,15,1 Covered,North-East,Unfurnished,₹8376 /sqft,"Garden, Security, Elevator, Clubhouse, Jogging Track, Tennis Court, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,172,8292000,8983000,9674000,10365000,11056000,11747000,12438000,13129000,13543600,13820000
173,1786023688-173,N/A,Mahindra Lifespaces Palms Towers,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹150 Lac,N/A,N/A,1999 sqft,Built-up Area,Rajajinagar,Bangalore,West,"Rajajinagar, Bangalore",400173,Mahindra Lifespaces Palms Towers,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,12,16,1 Covered,East,Unfurnished,₹7504 /sqft,"Elevator, Garden, Power Backup, Clubhouse, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,173,9000000,9750000,10500000,11250000,12000000,12750000,13500000,14250000,14700000,15000000
174,1786023688-174,N/A,Casagrand Vista Park,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹168.9 Lac,N/A,N/A,2398 sqft,Plot Area,Banashankari,Bangalore,East,"Banashankari, Bangalore",400174,Casagrand Vista Park,Casagrand,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,13,17,1 Covered,West,Unfurnished,₹7043 /sqft,"Garden, Parking, Gymnasium, Clubhouse, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,174,10134000,10978500,11823000,12667500,13512000,14356500,15201000,16045500,16552200,16890000
175,1786023688-175,N/A,Kolte-Patil Avenue Court,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹46.4 Lac,N/A,N/A,514 sqft,Super Built-up Area,Malleshwaram,Bangalore,South,"Malleshwaram, Bangalore",400175,Kolte-Patil Avenue Court,Kolte-Patil,Verified Partner,Zero Brokerage,Under Construction,Yes,8d ago,14,18,1 Covered,North,Semi-Furnished,₹9027 /sqft,"Swimming Pool, Tennis Court, Garden, Security, Jogging Track, Power Backup, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,175,2784000,3016000,3248000,3480000,3712000,3944000,4176000,4408000,4547200,4640000
176,1786023688-176,N/A,Piramal Realty Oasis Gardens,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹88.5 Lac,N/A,N/A,970 sqft,Plot Area,Kaggadasapura,Bangalore,Central,"Kaggadasapura, Bangalore",400176,Piramal Realty Oasis Gardens,Piramal Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,15,19,1 Covered,North-East,Fully-Furnished,₹9124 /sqft,"Power Backup, Parking, Swimming Pool, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,176,5310000,5752500,6195000,6637500,7080000,7522500,7965000,8407500,8673000,8850000
177,1786023688-177,N/A,Prestige Group Solitaire Haven,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹115.4 Lac,N/A,N/A,1492 sqft,Plot Area,BTM Layout,Bangalore,Central,"BTM Layout, Bangalore",400177,Prestige Group Solitaire Haven,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,16,20,1 Covered,East,Fully-Furnished,₹7735 /sqft,"Jogging Track, Elevator, Swimming Pool, Tennis Court, Security, Gymnasium, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,177,6924000,7501000,8078000,8655000,9232000,9809000,10386000,10963000,11309200,11540000
178,1786023688-178,N/A,DLF Limited Signature Enclave,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹148.2 Lac,N/A,N/A,1983 sqft,Carpet Area,JP Nagar,Bangalore,Central,"JP Nagar, Bangalore",400178,DLF Limited Signature Enclave,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,17,21,1 Covered,North-East,Semi-Furnished,₹7474 /sqft,"Elevator, Gymnasium, Garden, Security, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,178,8892000,9633000,10374000,11115000,11856000,12597000,13338000,14079000,14523600,14820000
179,1786023688-179,N/A,Godrej Properties Crown Square,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹238.1 Lac,N/A,N/A,2400 sqft,Super Built-up Area,C V Raman Nagar,Bangalore,Central,"C V Raman Nagar, Bangalore",400179,Godrej Properties Crown Square,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,18,22,1 Covered,East,Semi-Furnished,₹9921 /sqft,"Parking, Jogging Track, Gymnasium, Garden, Security, Swimming Pool, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,179,14286000,15476500,16667000,17857500,19048000,20238500,21429000,22619500,23333800,23810000
180,1786023688-180,N/A,Sobha Limited Royal Plaza,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹64.2 Lac,N/A,N/A,632 sqft,Plot Area,Varthur,Bangalore,South,"Varthur, Bangalore",400180,Sobha Limited Royal Plaza,Sobha Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,1d ago,1,5,1 Covered,West,Unfurnished,₹10158 /sqft,"Gymnasium, Swimming Pool, Tennis Court, Security, Garden, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,180,3852000,4173000,4494000,4815000,5136000,5457000,5778000,6099000,6291600,6420000
181,1786023688-181,N/A,Oberoi Realty Grand Terraces,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹83.2 Lac,N/A,N/A,994 sqft,Plot Area,Whitefield,Bangalore,East,"Whitefield, Bangalore",400181,Oberoi Realty Grand Terraces,Oberoi Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,2d ago,2,6,1 Covered,North,Unfurnished,₹8370 /sqft,"Gymnasium, Security, Swimming Pool, Jogging Track, Elevator, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,181,4992000,5408000,5824000,6240000,6656000,7072000,7488000,7904000,8153600,8320000
182,1786023688-182,N/A,Hiranandani Group Emerald Residences,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹105 Lac,N/A,N/A,1543 sqft,Plot Area,Koramangala,Bangalore,Central,"Koramangala, Bangalore",400182,Hiranandani Group Emerald Residences,Hiranandani Group,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,3,7,1 Covered,North-East,Fully-Furnished,₹6805 /sqft,"Clubhouse, Tennis Court, Parking, Gymnasium, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,182,6300000,6825000,7350000,7875000,8400000,8925000,9450000,9975000,10290000,10500000
